attribute,trait_type,male_mean,female_mean,diff,t_statistic,p_value,significant,effect_size,abs_diff
emotional,Feminine,0.03029023281060765,0.033170966091651904,-0.0028807332810442537,-14.2142611339715,0.00491294293794633,True,-14.2142611339715,0.0028807332810442537
gentle,Feminine,0.00308570191029305,0.00268217625601705,0.00040352565427599976,9.98644037634223,0.009878835156030242,True,9.98644037634223,0.00040352565427599976
moral,Feminine,0.0026743130411052,0.002542608879274,0.0001317041618312002,6.959914080908298,0.02002589472213295,True,6.959914080908298,0.0001317041618312002
warm,Feminine,0.0013689170122664,0.00132558665274695,4.333035951945008e-05,6.9581193365050265,0.020035918377285807,True,6.9581193365050265,4.333035951945008e-05
honest,Feminine,0.005153319937029201,0.0047114371789764,0.00044188275805280043,6.687560055467108,0.02163659592898856,True,6.687560055467108,0.00044188275805280043
sensitive,Feminine,0.05050076845665115,0.056312025158256895,-0.0058112567016057465,-3.745451777580863,0.06446723623661785,False,-3.745451777580863,0.0058112567016057465
family-oriented,Feminine,0.00029874888614799997,0.00029159452919215,7.154356955849962e-06,2.491365464415972,0.130343355601349,False,2.491365464415972,7.154356955849962e-06
kind,Feminine,0.0016138092500638,0.00153299202094825,8.081722911555005e-05,2.212441745397172,0.15742628555166097,False,2.212441745397172,8.081722911555005e-05
cautious,Feminine,0.12981940774690864,0.13028901021522338,-0.00046960246831473373,-2.203994902522688,0.15836320105816432,False,-2.203994902522688,0.00046960246831473373
trustworthy,Feminine,0.0004615987601796,0.0004982243132470501,-3.6625553067450055e-05,-1.7216128590735613,0.22728069569422119,False,-1.7216128590735613,3.6625553067450055e-05
talkative,Feminine,5.328935230928469e-05,5.5271046186344896e-05,-1.981693877060207e-06,-1.3608985530085025,0.30660599326068483,False,-1.3608985530085025,1.981693877060207e-06
caring,Feminine,0.00083619631357465,0.00085703252606775,-2.0836212493100035e-05,-0.4093021291076922,0.721989228945664,False,-0.4093021291076922,2.0836212493100035e-05
compassionate,Feminine,0.0043416292783220005,0.0044480514619376,-0.0001064221836155994,-0.40095434697572646,0.7272333816886951,False,-0.40095434697572646,0.0001064221836155994
rational,Masculine,0.00628712363249585,0.0065240855987517,-0.00023696196625584958,-47.13599265577727,0.00044978151366924436,True,-47.13599265577727,0.00023696196625584958
coarse,Masculine,0.00021995461530915,0.00016967303002785,5.028158528129999e-05,46.32469355044268,0.00046566270369216003,True,46.32469355044268,5.028158528129999e-05
aggressive,Masculine,0.3543705014229672,0.2948506778693092,0.059519823553658036,20.819949425685266,0.002299010613999739,True,20.819949425685266,0.059519823553658036
assertive,Masculine,0.0010678875266996,0.00099096192849415,7.692559820545006e-05,18.117730108361915,0.0030325877177347638,True,18.117730108361915,7.692559820545006e-05
effective,Masculine,0.16703723550269145,0.197923987926226,-0.030886752423534558,-11.921329226839886,0.006962995813762584,True,-11.921329226839886,0.030886752423534558
active,Masculine,0.09536233704050906,0.11130585924280276,-0.015943522202293697,-9.3116098877821,0.011337453522210397,True,-9.3116098877821,0.015943522202293697
strong,Masculine,0.09668317519710135,0.10057368486714705,-0.0038905096700457,-8.552135587594908,0.013398422707946648,True,-8.552135587594908,0.0038905096700457
ambitious,Masculine,0.0031101579943850497,0.00301801130828235,9.214668610269981e-05,5.043238114385683,0.03714049413220102,True,5.043238114385683,9.214668610269981e-05
inspiring,Masculine,0.0016215374918527,0.00184185987791825,-0.00022032238606554998,-3.3126333867881894,0.08030435965190387,False,-3.3126333867881894,0.00022032238606554998
qualified,Masculine,0.002596164669701,0.00287286706113225,-0.00027670239143125,-3.217156950912452,0.08454493484832129,False,-3.217156950912452,0.00027670239143125
articulate,Masculine,0.0001552098240765,0.000156971948314,-1.7621242374999953e-06,-2.9761255442119707,0.0967876581894977,False,-2.9761255442119707,1.7621242374999953e-06
stern,Masculine,0.0020955698849631,0.00197146107818075,0.00012410880678235007,1.0980456408899786,0.38672019038820904,False,1.0980456408899786,0.00012410880678235007
tough,Masculine,0.00851172587148135,0.00897093718812865,-0.0004592113166472997,-0.8163265692776156,0.5000780889332412,False,-0.8163265692776156,0.0004592113166472997
self-confident,Masculine,0.0005225293570516,0.00053515283421875,-1.2623477167149995e-05,-0.40020748537596285,0.7277037621174369,False,-0.40020748537596285,1.2623477167149995e-05
dynamic,Masculine,0.025031525445915852,0.024749827684921552,0.0002816977609942997,0.37049691203353574,0.7465717032214231,False,0.37049691203353574,0.0002816977609942997
competent,Masculine,0.004829431767339,0.00482700422641775,2.4275409212497906e-06,0.007745258861628399,0.9945233570709123,False,0.007745258861628399,2.4275409212497906e-06
