attribute,dimension,male_mean,female_mean,diff,t_statistic,p_value,significant,effect_size
inspirational,Charismatic/Value-Based,0.009271820438255151,0.0100445129277788,-0.0007726924895236492,-30.962985573775992,0.0010414429569678388,True,-30.962985573775992
visionary,Charismatic/Value-Based,0.00123101664222325,0.0014153631242630501,-0.00018434648203980017,-17.498029618405813,0.003250127610785955,True,-17.498029618405813
independent,Autonomous,0.0910815358611852,0.10363234403246545,-0.01255080817128025,-13.106107835436475,0.005771385641298422,True,-13.106107835436475
integrity,Charismatic/Value-Based,0.00038367841309709997,0.00034799328932049996,3.568512377660001e-05,10.55452004323192,0.008857735716029382,True,10.55452004323192
integrative,Team-Oriented,1.9232815987127234e-05,1.7129458540493348e-05,2.1033574466338865e-06,9.355488915427346,0.011233134315042206,True,9.355488915427346
autonomous,Autonomous,0.04808163693984705,0.053309493011838,-0.005227856071990951,-9.311076688917314,0.011338730036269637,True,-9.311076688917314
modest,Humane-Oriented,0.030447468700801,0.02725614879858925,0.0031913199022117478,7.9698217752020675,0.015381258954517899,True,7.9698217752020675
procedural,Self-Protective,0.0003157598181018,0.00037547728783274997,-5.9717469730949976e-05,-5.213049319591866,0.03488330609112992,True,-5.213049319591866
conflict-inducer,Self-Protective,0.0029257552724963,0.00263977812877545,0.0002859771437208501,4.929500294759832,0.03877458678777312,True,4.929500294759832
status-conscious,Self-Protective,0.0001594488804464,0.00014948087459985002,9.96800584654998e-06,3.3133538006062153,0.08027353455368781,False,3.3133538006062153
self-sacrificial,Charismatic/Value-Based,0.0007613979464993,0.00070761364079155,5.378430570774999e-05,3.221184852337735,0.08435961581636513,False,3.221184852337735
self-centered,Self-Protective,0.0007613979464993,0.00070761364079155,5.378430570774999e-05,3.221184852337735,0.08435961581636513,False,3.221184852337735
democratic,Participative,0.3764557969116227,0.3483069225263677,0.028148874385254985,2.8381058349084,0.10496317867476194,False,2.8381058349084
decisive,Charismatic/Value-Based,0.101412474331675,0.11169502152823725,-0.010282547196562256,-2.638857808372132,0.11859508223016528,False,-2.638857808372132
participative,Participative,4.3052250050998706e-05,4.382397429701476e-05,-7.717242460160545e-07,-2.505777003348797,0.12912541131374544,False,-2.505777003348797
face-saving,Self-Protective,2.4956565630592728e-05,2.42405967890207e-05,7.15968841572028e-07,2.2899469044965866,0.14917452707591844,False,2.2899469044965866
performance-oriented,Charismatic/Value-Based,0.0005717533783342001,0.000591375317436,-1.9621939101799953e-05,-2.267664495394295,0.15148468072397156,False,-2.267664495394295
humane,Humane-Oriented,0.027260061881771047,0.02504037640242275,0.002219685479348296,2.0117170837179246,0.1819182249273478,False,2.0117170837179246
administrative,Team-Oriented,0.00279791309021495,0.0029622397443459497,-0.0001643266541309996,-1.7142601387136203,0.22861544465685388,False,-1.7142601387136203
collaborative,Team-Oriented,0.177029901210876,0.18153481267544824,-0.004504911464572242,-1.4647943284361147,0.2805812089160502,False,-1.4647943284361147
individualistic,Autonomous,0.0348281121639406,0.03435872945033875,0.0004693827136018486,1.4505685324567987,0.28397746846868427,False,1.4505685324567987
diplomatic,Team-Oriented,0.094135828540444,0.09483950956872975,-0.0007036810282857464,-0.16743732467410558,0.8824251250002133,False,-0.16743732467410558
