trait_type,attribute,Diff (N-S),p-value,significant
Feminine,compassionate,-0.00037528474666300056,0.038122055258443865,True
Feminine,caring,-7.19774311601e-05,0.03962866850410897,True
Feminine,talkative,2.0593288902223024e-06,0.2794415288280736,False
Feminine,trustworthy,3.007521694885001e-05,0.36547850418088557,False
Feminine,kind,-5.165875827204997e-05,0.46142286344861716,False
Feminine,cautious,-0.000286283724197145,0.48691300945005955,False
Feminine,family-oriented,4.052728792249959e-06,0.5073655754282711,False
Feminine,sensitive,-0.002188575330339948,0.6476693368352606,False
Feminine,honest,9.312602346090056e-05,0.7938116125591921,False
Feminine,moral,2.6640077163000465e-05,0.8017785814862521,False
Feminine,warm,8.736669339049971e-06,0.8024105444719348,False
Feminine,gentle,5.682469979489957e-05,0.8605706047270235,False
Feminine,emotional,0.00028644534458275445,0.9010536460193724,False
Masculine,competent,0.0004432323933587501,4.752472676300343e-05,True
Masculine,dynamic,0.0010749936074944018,0.0328861754755759,True
Masculine,self-confident,-4.459827454965002e-05,0.03798753583319645,True
Masculine,tough,-0.0007950795329733987,0.13443404993563432,False
Masculine,stern,0.00015971884441385014,0.21075429670901144,False
Masculine,articulate,-8.291382518000245e-07,0.5750084550477312,False
Masculine,qualified,0.0001215619812015502,0.5978186858262765,False
Masculine,inspiring,9.393962023605037e-05,0.6078661786036262,False
Masculine,ambitious,2.5709557733799744e-05,0.7313555907148273,False
Masculine,strong,-0.0006379133521216829,0.8382303675467999,False
Masculine,active,0.002418817169577106,0.8500084290035821,False
Masculine,effective,0.0036596611216701547,0.8823385875353128,False
Masculine,assertive,-5.98240459694999e-06,0.9224671296761627,False
Masculine,aggressive,-0.004040545277844698,0.9322703633734675,False
Masculine,coarse,-1.5338287962999957e-06,0.9695094229655109,False
Masculine,rational,-5.332584890650055e-06,0.9775061522455839,False
