trait_type,attribute,Diff (M-F),p-value,significant
Feminine,emotional,-0.0028807332810442537,0.00491294293794633,True
Feminine,gentle,0.00040352565427599976,0.009878835156030242,True
Feminine,moral,0.0001317041618312002,0.02002589472213295,True
Feminine,warm,4.333035951945008e-05,0.020035918377285807,True
Feminine,honest,0.00044188275805280043,0.02163659592898856,True
Feminine,sensitive,-0.0058112567016057465,0.06446723623661785,False
Feminine,family-oriented,7.154356955849962e-06,0.130343355601349,False
Feminine,kind,8.081722911555005e-05,0.15742628555166097,False
Feminine,cautious,-0.00046960246831473373,0.15836320105816432,False
Feminine,trustworthy,-3.6625553067450055e-05,0.22728069569422119,False
Feminine,talkative,-1.981693877060207e-06,0.30660599326068483,False
Feminine,caring,-2.0836212493100035e-05,0.721989228945664,False
Feminine,compassionate,-0.0001064221836155994,0.7272333816886951,False
Masculine,rational,-0.00023696196625584958,0.00044978151366924436,True
Masculine,coarse,5.028158528129999e-05,0.00046566270369216003,True
Masculine,aggressive,0.059519823553658036,0.002299010613999739,True
Masculine,assertive,7.692559820545006e-05,0.0030325877177347638,True
Masculine,effective,-0.030886752423534558,0.006962995813762584,True
Masculine,active,-0.015943522202293697,0.011337453522210397,True
Masculine,strong,-0.0038905096700457,0.013398422707946648,True
Masculine,ambitious,9.214668610269981e-05,0.03714049413220102,True
Masculine,inspiring,-0.00022032238606554998,0.08030435965190387,False
Masculine,qualified,-0.00027670239143125,0.08454493484832129,False
Masculine,articulate,-1.7621242374999953e-06,0.0967876581894977,False
Masculine,stern,0.00012410880678235007,0.38672019038820904,False
Masculine,tough,-0.0004592113166472997,0.5000780889332412,False
Masculine,self-confident,-1.2623477167149995e-05,0.7277037621174369,False
Masculine,dynamic,0.0002816977609942997,0.7465717032214231,False
Masculine,competent,2.4275409212497906e-06,0.9945233570709123,False
