attribute,trait_type,male_mean,female_mean,diff,t_statistic,p_value,significant,effect_size,abs_diff
moral,Feminine,0.0020052236742425,0.0013747983044458002,0.0006304253697966998,41.24599731056384,0.0005872914313617455,True,41.24599731056384,0.0006304253697966998
caring,Feminine,0.0016251423046397,0.00125315110922835,0.00037199119541135,36.82227755199176,0.0007367134069301161,True,36.82227755199176,0.00037199119541135
compassionate,Feminine,0.01911573454698005,0.01701027338680875,0.0021054611601712993,11.94451618890403,0.006936268949158422,True,11.94451618890403,0.0021054611601712993
gentle,Feminine,0.0010280088539309,0.000690100181694,0.00033790867223689987,9.61567918747544,0.010642984039857693,True,9.61567918747544,0.00033790867223689987
kind,Feminine,0.00023957688785715002,0.0001889883313661,5.058855649105003e-05,8.954274512256866,0.01224350585092312,True,8.954274512256866,5.058855649105003e-05
family-oriented,Feminine,9.659575502345682e-05,7.51787222868708e-05,2.1417032736586027e-05,8.283584203791996,0.014262450997746914,True,8.283584203791996,2.1417032736586027e-05
honest,Feminine,0.0037739105947378997,0.0029809914313672,0.0007929191633706998,8.005457840375144,0.015247734358420407,True,8.005457840375144,0.0007929191633706998
warm,Feminine,0.00079141849417845,0.0007077779765246,8.364051765384997e-05,5.93233564579359,0.02725857951932792,True,5.93233564579359,8.364051765384997e-05
sensitive,Feminine,0.03217598996918595,0.0328660417292706,-0.000690051760084652,-4.371362047960636,0.048552254092740235,True,-4.371362047960636,0.000690051760084652
emotional,Feminine,0.01320197613006105,0.012342265564414551,0.000859710565646498,2.6497448654913764,0.11778759764374148,False,2.6497448654913764,0.000859710565646498
cautious,Feminine,0.0817776489176007,0.07379786224502849,0.007979786672572209,0.8168923432400902,0.4998182675889584,False,0.8168923432400902,0.007979786672572209
talkative,Feminine,5.149029331995404e-05,4.831930306194301e-05,3.1709902580110333e-06,0.6569372091343195,0.5787103539195797,False,0.6569372091343195,3.1709902580110333e-06
trustworthy,Feminine,0.00015434855780765,0.00015280827474215,1.5402830655000105e-06,0.1268261123166051,0.9106788562543917,False,0.1268261123166051,1.5402830655000105e-06
ambitious,Masculine,0.0047058885565825,0.003999466908256,0.0007064216483264997,40.18289431423951,0.0006187487654697806,True,40.18289431423951,0.0007064216483264997
coarse,Masculine,6.124205539221032e-05,4.142887882941707e-05,1.9813176562793244e-05,17.673127462816502,0.003186350830750686,True,17.673127462816502,1.9813176562793244e-05
strong,Masculine,0.07543278698972761,0.08250864423122456,-0.007075857241496952,-9.611432460645782,0.01065224135875446,True,-9.611432460645782,0.007075857241496952
assertive,Masculine,0.00647974147274835,0.0067655213214596,-0.0002857798487112505,-6.626808401899249,0.022022055059971738,True,-6.626808401899249,0.0002857798487112505
rational,Masculine,0.01693465517089885,0.0145134678100481,0.0024211873608507503,4.150343814983309,0.05344270907325812,False,4.150343814983309,0.0024211873608507503
stern,Masculine,0.0012304485573024502,0.00104711064361565,0.00018333791368680026,3.9308180586437826,0.05904540046507791,False,3.9308180586437826,0.00018333791368680026
active,Masculine,0.13242467443647699,0.15440188846893274,-0.021977214032455755,-2.643119163625288,0.11827809671310488,False,-2.643119163625288,0.021977214032455755
competent,Masculine,0.0104128610399229,0.0101937801131729,0.00021908092675000136,1.985428120114949,0.1855009308715953,False,1.985428120114949,0.00021908092675000136
inspiring,Masculine,0.0007957425556444,0.0008285770162165,-3.283446057210002e-05,-1.959409995305666,0.1891409116099624,False,-1.959409995305666,3.283446057210002e-05
tough,Masculine,0.00693562829015235,0.006293620809882499,0.0006420074802698508,1.839261050614931,0.2072505013968992,False,1.839261050614931,0.0006420074802698508
aggressive,Masculine,0.284372971753566,0.24473266840836186,0.03964030334520416,1.6852760069581456,0.23397773451679427,False,1.6852760069581456,0.03964030334520416
self-confident,Masculine,0.0004914029955861,0.0005269165770083,-3.551358142219992e-05,-1.6540189784545198,0.23994541232677843,False,-1.6540189784545198,3.551358142219992e-05
articulate,Masculine,2.797129396135665e-05,2.531224914846655e-05,2.6590448128900993e-06,1.351572567664335,0.3090853308174797,False,1.351572567664335,2.6590448128900993e-06
effective,Masculine,0.27815716351196607,0.30622809944651597,-0.0280709359345499,-1.221250562187361,0.3464155957622391,False,-1.221250562187361,0.0280709359345499
qualified,Masculine,0.0016919739336240499,0.00164148802769575,5.0485905928299895e-05,0.5913936871042031,0.6141964857875417,False,0.5913936871042031,5.0485905928299895e-05
dynamic,Masculine,0.02380778240688145,0.0227634525293911,0.0010443298774903513,0.5133318141600954,0.6588015770683675,False,0.5133318141600954,0.0010443298774903513
