attribute,dimension,male_mean,female_mean,diff,t_statistic,p_value,significant,effect_size
visionary,Charismatic/Value-Based,0.00991511013574955,0.00866933242170805,0.0012457777140414995,66.43674578167696,0.0002264830666034431,True,66.43674578167696
autonomous,Autonomous,0.04826643201543935,0.056795300645702096,-0.008528868630262747,-45.702699899480415,0.00047841472684348257,True,-45.702699899480415
performance-oriented,Charismatic/Value-Based,7.768907106239288e-05,8.781545468988962e-05,-1.0126383627496744e-05,-34.951904268338204,0.0008175709687273377,True,-34.951904268338204
collaborative,Team-Oriented,0.0350580869905015,0.04739964097512605,-0.012341553984624547,-29.854514892989823,0.0011200819980259162,True,-29.854514892989823
integrative,Team-Oriented,3.014237301101531e-06,2.3094182217747135e-06,7.048190793268174e-07,20.470324063396287,0.0023779314338159044,True,20.470324063396287
face-saving,Self-Protective,1.231600914273631e-05,1.2768721819802164e-05,-4.527126770658535e-07,-20.15533316049762,0.002452562289319556,True,-20.15533316049762
administrative,Team-Oriented,0.0010105485667399,0.0008132281925077,0.00019732037423219999,16.22084155533382,0.0037790787705863,True,16.22084155533382
modest,Humane-Oriented,0.0036842089486276,0.0021894015852983503,0.0014948073633292498,15.187627362688046,0.004307319571402487,True,15.187627362688046
status-conscious,Self-Protective,1.2665050118817584e-05,1.2183891504405036e-05,4.81158614412548e-07,11.693963331798752,0.007233431930821229,True,11.693963331798752
self-centered,Self-Protective,0.0004084254420394,0.00037067353862465,3.775190341475e-05,10.643606078279253,0.008712003254047758,True,10.643606078279253
self-sacrificial,Charismatic/Value-Based,0.0004084254420394,0.00037067353862465,3.775190341475e-05,10.643606078279253,0.008712003254047758,True,10.643606078279253
humane,Humane-Oriented,0.013685668633978,0.0111701224186094,0.0025155462153686,10.330379210147056,0.009240913165404308,True,10.330379210147056
diplomatic,Team-Oriented,0.01770497571480685,0.0134800085806728,0.004224967134134051,9.409203179616055,0.011107370133432033,True,9.409203179616055
integrity,Charismatic/Value-Based,0.00020747853076825002,0.00017466906213605,3.280946863220001e-05,5.940559627591234,0.027186207061604163,True,5.940559627591234
independent,Autonomous,0.0564166551350773,0.062165298700589455,-0.005748643565512156,-4.1540751812749415,0.05335428676494981,False,-4.1540751812749415
inspirational,Charismatic/Value-Based,0.0014365650808341002,0.00176821026818695,-0.0003316451873528498,-4.151829789331319,0.05340747029378053,False,-4.151829789331319
individualistic,Autonomous,0.0072351697114763,0.00673049033350285,0.0005046793779734503,3.919550078994837,0.05935570555067692,False,3.919550078994837
decisive,Charismatic/Value-Based,0.11446262908801011,0.0992324416985709,0.01523018738943921,3.1401128894846226,0.08820488660931007,False,3.1401128894846226
participative,Participative,7.624181169134531e-06,7.3627662873196425e-06,2.614148818148887e-07,1.2535046694722023,0.3366933173017713,False,1.2535046694722023
conflict-inducer,Self-Protective,0.00021747776263105,0.00021393405049685002,3.543712134199974e-06,0.5700664691760862,0.6261337340164992,False,0.5700664691760862
procedural,Self-Protective,0.0003929111217661,0.0003764366441712,1.647447759489998e-05,0.5544127657193572,0.6350156272560128,False,0.5544127657193572
democratic,Participative,0.6893759231307202,0.6879576970929482,0.0014182260377719746,0.31554791562301443,0.7822289796168375,False,0.31554791562301443
