attribute,trait_type,north_mean,south_mean,diff,t_statistic,p_value,significant,effect_size,abs_diff
trustworthy,Feminine,0.00014500439668215,0.00016215243586765,-1.714803918550001e-05,-13.326355251822054,0.0055837739499196995,True,-13.326355251822054,1.714803918550001e-05
talkative,Feminine,4.650090379854862e-05,5.330869258334842e-05,-6.807788784799797e-06,-2.998748407992347,0.09553461399231399,False,-2.998748407992347,6.807788784799797e-06
cautious,Feminine,0.0846938395466096,0.0708816716160196,0.013812167930589994,2.4465109342057,0.1342382487967165,False,2.4465109342057,0.013812167930589994
emotional,Feminine,0.01254702905255545,0.01299721264192015,-0.00045018358936469924,-0.7366347494921199,0.5380334245675652,False,-0.7366347494921199,0.00045018358936469924
warm,Feminine,0.00075943761205835,0.0007397588586446999,1.9678753413650122e-05,0.33248795952841703,0.7711355801490336,False,0.33248795952841703,1.9678753413650122e-05
sensitive,Feminine,0.0324594831398768,0.03258254855857975,-0.0001230654187029459,-0.243499615643,0.8303166197131546,False,-0.243499615643,0.0001230654187029459
honest,Feminine,0.0033096514657254,0.0034452505603796996,-0.00013559909465429973,-0.24161128816321661,0.8315950454367553,False,-0.24161128816321661,0.00013559909465429973
family-oriented,Feminine,8.411895065618598e-05,8.765552665414162e-05,-3.536575997955632e-06,-0.23330872585832477,0.8372260154353817,False,-0.23330872585832477,3.536575997955632e-06
kind,Feminine,0.00021827513789155,0.00021029008133170002,7.98505655984997e-06,0.22322059093628854,0.8440894142821629,False,0.22322059093628854,7.98505655984997e-06
gentle,Feminine,0.00088377889520795,0.00083433014041695,4.9448754791e-05,0.20693031889467858,0.8552198374812051,False,0.20693031889467858,4.9448754791e-05
compassionate,Feminine,0.0181791826416863,0.0179468252921025,0.00023235734958379842,0.15592839322665555,0.8904061205783544,False,0.15592839322665555,0.00023235734958379842
moral,Feminine,0.0017004617013588,0.0016795602773295,2.090142402929999e-05,0.04688572140969428,0.9668649933793104,False,0.04688572140969428,2.090142402929999e-05
caring,Feminine,0.0014338280062852,0.00144446540758285,-1.063740129765003e-05,-0.04042734204656904,0.9714252253477533,False,-0.04042734204656904,1.063740129765003e-05
dynamic,Masculine,0.0218504830862912,0.02472075184998135,-0.002870268763690148,-3.818768655291455,0.06223962689408543,False,-3.818768655291455,0.002870268763690148
qualified,Masculine,0.0016066375669563,0.0017268243943634998,-0.00012018682740719982,-3.2837231419092117,0.08155554459899252,False,-3.2837231419092117,0.00012018682740719982
effective,Masculine,0.2759395988772255,0.3084456640812565,-0.03250606520403099,-1.6376416315634825,0.2431510901515275,False,-1.6376416315634825,0.03250606520403099
articulate,Masculine,2.525825818583293e-05,2.802528492399027e-05,-2.7670267381573382e-06,-1.4629115133894026,0.2810277757841684,False,-1.4629115133894026,2.7670267381573382e-06
self-confident,Masculine,0.00049400637240035,0.00052431320019405,-3.0306827793700033e-05,-1.205195007481549,0.3513793151815253,False,-1.205195007481549,3.0306827793700033e-05
aggressive,Masculine,0.2811778525603958,0.24792778760153206,0.033250064958863734,1.185872325167386,0.35746480380216217,False,1.185872325167386,0.033250064958863734
tough,Masculine,0.00686134512377445,0.0063679039762604,0.0004934411475140503,1.0866910211435223,0.3906998994505765,False,1.0866910211435223,0.0004934411475140503
inspiring,Masculine,0.00082372588759935,0.00080059368426155,2.3132203337799975e-05,0.9842962661841628,0.4287417248791483,False,0.9842962661841628,2.3132203337799975e-05
competent,Masculine,0.010375780148119799,0.010230861004976,0.0001449191431437992,0.904450024096516,0.46121960984670585,False,0.904450024096516,0.0001449191431437992
active,Masculine,0.13753391071491178,0.14929265219049795,-0.01175874147558617,-0.7566592145974902,0.5282413913428193,False,-0.7566592145974902,0.01175874147558617
stern,Masculine,0.0011717543146896499,0.0011058048862284502,6.594942846119972e-05,0.508702957433428,0.6615243579499015,False,0.508702957433428,6.594942846119972e-05
rational,Masculine,0.01613635189578665,0.015311771085160299,0.0008245808106263509,0.4816078832784483,0.6776321440971006,False,0.4816078832784483,0.0008245808106263509
assertive,Masculine,0.0066459958747838496,0.0065992669194241006,4.6728955359749e-05,0.22909925802033582,0.8400870882323946,False,0.22909925802033582,4.6728955359749e-05
strong,Masculine,0.07849258859157016,0.079448842629382,-0.0009562540378118406,-0.190798596529638,0.8662963713495387,False,-0.190798596529638,0.0009562540378118406
coarse,Masculine,5.0595834942998366e-05,5.2075099278629024e-05,-1.4792643356306587e-06,-0.10554233958557573,0.9255772603745454,False,-0.10554233958557573,1.4792643356306587e-06
ambitious,Masculine,0.004353523441973,0.004351832022865499,1.691419107500286e-06,0.003384033638851007,0.9976071337167822,False,0.003384033638851007,1.691419107500286e-06
