attribute,dimension,north_mean,south_mean,diff,t_statistic,p_value,significant,effect_size
democratic,Participative,0.6854948944099288,0.6918387258137395,-0.0063438314038106736,-6.093085931612735,0.025893897620898262,True,-6.093085931612735
procedural,Self-Protective,0.0004056829153906,0.0003636648505467,4.20180648439e-05,3.603847437070675,0.06910935702661761,False,3.603847437070675
conflict-inducer,Self-Protective,0.00022010143419805002,0.00021131037892985,8.791055268200028e-06,3.507962577288031,0.07253216889229254,False,3.507962577288031
participative,Participative,7.346083101991677e-06,7.640864354462497e-06,-2.947812524708202e-07,-1.5936960382190561,0.2520304378214162,False,-1.5936960382190561
decisive,Charismatic/Value-Based,0.11027046786427315,0.10342460292230785,0.0068458649419653045,0.6354285877881772,0.5901543401005755,False,0.6354285877881772
individualistic,Autonomous,0.0068919350837345,0.00707372496124465,-0.00018178987751014952,-0.5093015249818756,0.6611717884031327,False,-0.5093015249818756
independent,Autonomous,0.058312924435269295,0.06026902940039745,-0.001956104965128158,-0.48119044772411573,0.6778825545933123,False,-0.48119044772411573
inspirational,Charismatic/Value-Based,0.00154616045678885,0.0016586148922322001,-0.00011245443544335011,-0.4792809606543877,0.6790288760929587,False,-0.4792809606543877
integrity,Charismatic/Value-Based,0.00018718771870830002,0.00019495987419600001,-7.772155487699992e-06,-0.33491633519520253,0.7695524988821068,False,-0.33491633519520253
diplomatic,Team-Oriented,0.01590767290733875,0.0152773113881409,0.0006303615191978508,0.21096465638933493,0.8524580569041488,False,0.21096465638933493
humane,Humane-Oriented,0.0125995213239202,0.0122562697286672,0.0003432515952530007,0.19296065558716974,0.8648088295934767,False,0.19296065558716974
self-sacrificial,Charismatic/Value-Based,0.0003870520926694,0.00039204688799465,-4.994795325249967e-06,-0.1870946495556016,0.8688468605747551,False,-0.1870946495556016
self-centered,Self-Protective,0.0003870520926694,0.00039204688799465,-4.994795325249967e-06,-0.1870946495556016,0.8688468605747551,False,-0.1870946495556016
status-conscious,Self-Protective,1.2453415469896484e-05,1.2395526153326138e-05,5.7889316570345934e-08,0.17013455113528977,0.8805579357452031,False,0.17013455113528977
modest,Humane-Oriented,0.00286954915672415,0.0030040613772018,-0.00013451222047764985,-0.1272234311112371,0.9104012753459435,False,-0.1272234311112371
administrative,Team-Oriented,0.0009204636868725001,0.0009033130723751,1.7150614497400078e-05,0.12291719610906894,0.9134108627112958,False,0.12291719610906894
face-saving,Self-Protective,1.2526821798631422e-05,1.2557909163907052e-05,-3.1087365275629834e-08,-0.0971026634905202,0.9314993302664474,False,-0.0971026634905202
integrative,Team-Oriented,2.6377988771922553e-06,2.685856645683989e-06,-4.805776849173367e-08,-0.09642154299148202,0.9319775928041142,False,-0.09642154299148202
collaborative,Team-Oriented,0.041516072526668196,0.04094165543895935,0.0005744170877088478,0.06581966086206459,0.9535087968513227,False,0.06581966086206459
performance-oriented,Charismatic/Value-Based,8.25476814031741e-05,8.295684434910838e-05,-4.0916294593428156e-07,-0.05714206540221955,0.959627400933331,False,-0.05714206540221955
autonomous,Autonomous,0.052660383367192795,0.05240134929394865,0.0002590340732441451,0.042950957268486155,0.9696430841237176,False,0.042950957268486155
visionary,Charismatic/Value-Based,0.00930536672700135,0.00927907583045625,2.6290896545100306e-05,0.029845451665784468,0.9789007767549842,False,0.029845451665784468
