attribute,dimension,male_mean,female_mean,diff,t_statistic,p_value,significant,effect_size
individualistic,Autonomous,0.1696221722815918,0.15626527294373138,0.013356899337860412,120.34998674157708,6.903398328237311e-05,True,120.34998674157708
diplomatic,Team-Oriented,0.00220819143477455,0.002370030018178,-0.00016183858340344977,-51.04690261520179,0.00038354056077036426,True,-51.04690261520179
participative,Participative,0.00091324169620605,0.00101063060590395,-9.738890969790003e-05,-28.694906494030235,0.0012122720401440805,True,-28.694906494030235
integrative,Team-Oriented,0.0004062981456237,0.0005111318995981999,-0.00010483375397449994,-24.004380130582927,0.0017309727895012037,True,-24.004380130582927
modest,Humane-Oriented,0.025663723962077202,0.0236151642339647,0.0020485597281125027,23.852137353199495,0.0017530818637345983,True,23.852137353199495
face-saving,Self-Protective,0.230487509743887,0.2398039668272699,-0.009316457083382912,-18.36542857180006,0.0029516964241977275,True,-18.36542857180006
collaborative,Team-Oriented,0.014756676516903551,0.01811175204788035,-0.0033550755309767998,-17.32117602043233,0.0033165041945926975,True,-17.32117602043233
decisive,Charismatic/Value-Based,0.0018186088814253999,0.001695247913675,0.00012336096775039987,14.942817411320084,0.004448662220242178,True,14.942817411320084
humane,Humane-Oriented,0.15871698715903534,0.1529000673342139,0.005816919824821437,13.978817761591994,0.005078563520462971,True,13.978817761591994
administrative,Team-Oriented,0.0104194647906762,0.0104917126297879,-7.22478391116995e-05,-13.168678991520329,0.00571713863181384,True,-13.168678991520329
inspirational,Charismatic/Value-Based,0.0015966857149271002,0.00186353228175995,-0.0002668465668328498,-13.114899249748643,0.005763717422024757,True,-13.114899249748643
visionary,Charismatic/Value-Based,0.0013824503700972002,0.0014887631493893001,-0.00010631277929209993,-8.705650817042779,0.012939104639975848,True,-8.705650817042779
integrity,Charismatic/Value-Based,0.00101255204441085,0.0010258132151338998,-1.3261170723049935e-05,-6.523244930059292,0.02270303028099275,True,-6.523244930059292
independent,Autonomous,0.0595104812634703,0.061763443002510354,-0.002252961739040056,-4.770975934734952,0.04123424689729006,True,-4.770975934734952
self-centered,Self-Protective,0.0911717380869809,0.0926684766320109,-0.0014967385450300047,-4.711887002053021,0.04220994538250669,True,-4.711887002053021
self-sacrificial,Charismatic/Value-Based,0.0911717380869809,0.0926684766320109,-0.0014967385450300047,-4.711887002053021,0.04220994538250669,True,-4.711887002053021
autonomous,Autonomous,0.0014151547787398001,0.0013431065566136,7.204822212620015e-05,3.8588782688013317,0.06106798008789688,False,3.8588782688013317
conflict-inducer,Self-Protective,0.0959171790943858,0.0988029802145392,-0.0028858011201534084,-3.0704062256792586,0.0917148163979527,False,-3.0704062256792586
democratic,Participative,0.0069340171861192,0.0070527906777702,-0.00011877349165100026,-2.457735119045392,0.13324855243484993,False,-2.457735119045392
status-conscious,Self-Protective,0.011626896157364851,0.0113629244151139,0.00026397174225095167,2.093130100775468,0.17139936437989153,False,2.093130100775468
procedural,Self-Protective,0.00067288597293835,0.00068483118056805,-1.1945207629699968e-05,-1.1944194126885288,0.3547578096071702,False,-1.1944194126885288
performance-oriented,Charismatic/Value-Based,0.022575346631382998,0.0224998855883754,7.546104300759637e-05,0.39841663985320996,0.7288324485479878,False,0.39841663985320996
