attribute,dimension,north_mean,south_mean,diff,t_statistic,p_value,significant,effect_size
performance-oriented,Charismatic/Value-Based,0.02240368862685525,0.02267154359290315,-0.0002678549660478993,-5.019771563104052,0.03746923720417249,True,-5.019771563104052
procedural,Self-Protective,0.0006859300776316,0.0006717870758748,1.414300175679999e-05,1.674358759136082,0.2360399488077814,False,1.674358759136082
status-conscious,Self-Protective,0.01140573817730945,0.011584082395169299,-0.00017834421785984864,-0.9554517284472743,0.4401820019911261,False,-0.9554517284472743
democratic,Participative,0.007027575529069749,0.00695923233481965,6.834319425009887e-05,0.813746934198022,0.5012644511490982,False,0.813746934198022
conflict-inducer,Self-Protective,0.09802462545331014,0.09669553385561486,0.0013290915976952866,0.6513238958810122,0.5816779620029984,False,0.6513238958810122
autonomous,Autonomous,0.0013923276418718001,0.0013659336934816,2.639394839020013e-05,0.5180514467203596,0.6560342150836436,False,0.5180514467203596
self-sacrificial,Charismatic/Value-Based,0.09169552378625745,0.09214469093273435,-0.00044916714647690037,-0.4243965117434738,0.7125698224415876,False,-0.4243965117434738
self-centered,Self-Protective,0.09169552378625745,0.09214469093273435,-0.00044916714647690037,-0.4243965117434738,0.7125698224415876,False,-0.4243965117434738
independent,Autonomous,0.0609708365748796,0.06030308769110105,0.0006677488837785531,0.41915060609657,0.7158341616079897,False,0.41915060609657
integrity,Charismatic/Value-Based,0.0010206200714057,0.00101774518813905,2.8748832666500735e-06,0.3065862952117325,0.7881322272769282,False,0.3065862952117325
visionary,Charismatic/Value-Based,0.00144423699961855,0.00142697651986795,1.7260479750599985e-05,0.2296021185651759,0.8397450926368848,False,0.2296021185651759
inspirational,Charismatic/Value-Based,0.00171576690038335,0.0017444510963037,-2.8684195920349997e-05,-0.15201281124148652,0.8931263435049137,False,-0.15201281124148652
administrative,Team-Oriented,0.0104594631582095,0.0104517142622546,7.748895954898943e-06,0.1516783306666806,0.8933588251605776,False,0.1516783306666806
humane,Humane-Oriented,0.15551429274346124,0.156102761749788,-0.0005884690063267528,-0.14306894361973757,0.8993487194717749,False,-0.14306894361973757
decisive,Charismatic/Value-Based,0.00175109331706235,0.00176276347803805,-1.1670160975700084e-05,-0.1337865438134159,0.9058191210450708,False,-0.1337865438134159
collaborative,Team-Oriented,0.01657050395526865,0.01629792460951525,0.0002725793457534001,0.11489242601116004,0.9190255680679851,False,0.11489242601116004
face-saving,Self-Protective,0.2347872303386584,0.2355042462324985,-0.0007170158938401006,-0.108840767228911,0.9232648769600114,False,-0.108840767228911
modest,Humane-Oriented,0.024700099625057002,0.0245787885709849,0.00012131105407210338,0.0837461521045131,0.9408860848910094,False,0.0837461521045131
integrative,Team-Oriented,0.00046178419890305,0.00045564584631885004,6.1383525841999425e-06,0.08280498199953465,0.9415481461782351,False,0.08280498199953465
participative,Participative,0.0009643338585036,0.0009595384436063999,4.795414897200076e-06,0.06963550463988977,0.9508198462776035,False,0.06963550463988977
diplomatic,Team-Oriented,0.00228687241093575,0.0022913490420168,-4.47663108105005e-06,-0.03911863722282279,0.9723495224850104,False,-0.03911863722282279
individualistic,Autonomous,0.16302193276908933,0.16286551245623385,0.00015642031285548197,0.01656159999670087,0.9882899832826566,False,0.01656159999670087
