attribute,trait_type,male_mean,female_mean,diff,t_statistic,p_value,significant,effect_size,abs_diff
sensitive,Feminine,4.2974728037598805e-07,5.207191902650763e-07,-9.097190988908826e-08,-4.681973001223418,0.04271686269527089,True,-4.681973001223418,9.097190988908826e-08
emotional,Feminine,2.4134316912994244e-06,2.5966399628607076e-06,-1.8320827156128324e-07,-4.480244587007503,0.04638063793894019,True,-4.480244587007503,1.8320827156128324e-07
kind,Feminine,1.1387080347975118e-05,1.2638755691385331e-05,-1.2516753434102132e-06,-4.454559123647898,0.04687991719703038,True,-4.454559123647898,1.2516753434102132e-06
talkative,Feminine,2.3287901110582252e-07,2.8315241829179806e-07,-5.0273407185975543e-08,-3.093084990532099,0.09055130307751043,False,-3.093084990532099,5.0273407185975543e-08
family-oriented,Feminine,4.284062277137667e-06,4.846236775857299e-06,-5.621744987196323e-07,-2.9338027865031764,0.09919546753766516,False,-2.9338027865031764,5.621744987196323e-07
trustworthy,Feminine,1.4242860160195259e-08,1.3029124334607356e-08,1.2137358255879028e-09,2.724861160852203,0.11242158414765281,False,2.724861160852203,1.2137358255879028e-09
compassionate,Feminine,1.472705803961084e-07,1.6799553924563626e-07,-2.0724958849527858e-08,-1.5900715112408028,0.25278127512615045,False,-1.5900715112408028,2.0724958849527858e-08
caring,Feminine,1.1199589756593705e-06,1.3242918401792218e-06,-2.0433286451985132e-07,-1.478475902343164,0.27736283557255104,False,-1.478475902343164,2.0433286451985132e-07
warm,Feminine,3.2171936509665204e-07,2.936168585439414e-07,2.810250655271063e-08,1.4395056259468608,0.28665425890910334,False,1.4395056259468608,2.810250655271063e-08
gentle,Feminine,5.706301084395088e-08,6.201524634364621e-08,-4.9522354996953304e-09,-0.9718256078157921,0.4336477704552172,False,-0.9718256078157921,4.9522354996953304e-09
cautious,Feminine,4.781177531516395e-08,4.943737317816593e-08,-1.625597863001978e-09,-0.7482830106941529,0.5323164925178198,False,-0.7482830106941529,1.625597863001978e-09
moral,Feminine,4.38033318427747e-07,3.938595157086006e-07,4.417380271914641e-08,0.7366305069628672,0.5380355173818856,False,0.7366305069628672,4.417380271914641e-08
honest,Feminine,3.5421179520065326e-07,3.6045363491838264e-07,-6.24183971772938e-09,-0.2632634837278621,0.8169886220115713,False,-0.2632634837278621,6.24183971772938e-09
aggressive,Masculine,2.54110219323415e-07,2.156664762592541e-07,3.844374306416091e-08,140.02532898051575,5.099805034907688e-05,True,140.02532898051575,3.844374306416091e-08
active,Masculine,2.563932127586292e-06,3.0040556301238277e-06,-4.4012350253753574e-07,-42.297448038532075,0.0005584801389076078,True,-42.297448038532075,4.4012350253753574e-07
inspiring,Masculine,1.1399430602007512e-07,1.4902849344323915e-07,-3.5034187423164026e-08,-8.459766767397669,0.013686591835632868,True,-8.459766767397669,3.5034187423164026e-08
effective,Masculine,2.6091449717988735e-06,3.013609256858904e-06,-4.0446428506003054e-07,-4.966583322848626,0.03823038278745842,True,-4.966583322848626,4.0446428506003054e-07
stern,Masculine,0.9999675057916699,0.9999645994323341,2.906359335863584e-06,2.8961059260713196,0.10141245035883736,False,2.8961059260713196,2.906359335863584e-06
articulate,Masculine,3.705204077634645e-08,4.237488324396888e-08,-5.322842467622429e-09,-2.5246026227373606,0.12755823788345566,False,-2.5246026227373606,5.322842467622429e-09
ambitious,Masculine,3.657612132072278e-08,3.932741357957863e-08,-2.7512922588558525e-09,-2.295965212736273,0.1485589090497634,False,-2.295965212736273,2.7512922588558525e-09
rational,Masculine,6.047657120058857e-07,5.393163000508471e-07,6.544941195503857e-08,1.9521349505239782,0.1901758577705002,False,1.9521349505239782,6.544941195503857e-08
assertive,Masculine,1.2708421106479265e-07,1.3669632085520734e-07,-9.61210979041469e-09,-1.9352766165752722,0.19260350335597673,False,-1.9352766165752722,9.61210979041469e-09
competent,Masculine,3.0665681261248935e-08,3.115903137951547e-08,-4.933501182665341e-10,-1.8166934687231282,0.2109067109785098,False,-1.8166934687231282,4.933501182665341e-10
qualified,Masculine,5.4164614505512544e-08,6.27445828743422e-08,-8.579968368829662e-09,-1.513093161506407,0.269424982395147,False,-1.513093161506407,8.579968368829662e-09
coarse,Masculine,3.3696111385275052e-09,3.17200722387258e-09,1.9760391465492505e-10,1.1410090385281288,0.37207609106471673,False,1.1410090385281288,1.9760391465492505e-10
tough,Masculine,8.82515332910506e-08,8.507047223720852e-08,3.181061053842076e-09,0.9738338649638979,0.4328536025849564,False,0.9738338649638979,3.181061053842076e-09
self-confident,Masculine,3.437734404763596e-06,3.1943968073044857e-06,2.4333759745911025e-07,0.909247352316721,0.45919608910133736,False,0.909247352316721,2.4333759745911025e-07
strong,Masculine,5.064958767175584e-07,5.237109162481459e-07,-1.721503953058752e-08,-0.6143100553984256,0.6015823128659913,False,-0.6143100553984256,1.721503953058752e-08
dynamic,Masculine,7.793546092705018e-07,8.100359033746488e-07,-3.068129410414703e-08,-0.42775621270563635,0.710484441663088,False,-0.42775621270563635,3.068129410414703e-08
