attribute,trait_type,north_mean,south_mean,diff,t_statistic,p_value,significant,effect_size,abs_diff
honest,Feminine,3.405682218681281e-07,3.7409720825090787e-07,-3.3528986382779785e-08,-7.588316423924612,0.01692669501933697,True,-7.588316423924612,3.3528986382779785e-08
moral,Feminine,3.736027305052388e-07,4.582901036311088e-07,-8.468737312587e-08,-2.6973049469026917,0.1143493178724523,False,-2.6973049469026917,8.468737312587e-08
cautious,Feminine,4.708864370646917e-08,5.0160504786860715e-08,-3.0718610803915476e-09,-2.6710801109138127,0.11622745251248491,False,-2.6710801109138127,3.0718610803915476e-09
gentle,Feminine,5.593896104384612e-08,6.313929614375098e-08,-7.2003350999048586e-09,-2.0524563386408077,0.17654848248804914,False,-2.0524563386408077,7.2003350999048586e-09
warm,Feminine,2.9387811275370015e-07,3.2145811088689325e-07,-2.7579998133193104e-08,-1.38652711731675,0.2999174585830484,False,-1.38652711731675,2.7579998133193104e-08
caring,Feminine,1.124739363316618e-06,1.3195114525219742e-06,-1.9477208920535625e-07,-1.3437826162629938,0.3111751720228312,False,-1.3437826162629938,1.9477208920535625e-07
compassionate,Feminine,1.48436494544337e-07,1.6682962509740766e-07,-1.839313055307066e-08,-1.252965534914346,0.3368531316231387,False,-1.252965534914346,1.839313055307066e-08
trustworthy,Feminine,1.3321336911745959e-08,1.3950647583056658e-08,-6.293106713106996e-10,-0.7330613521281855,0.5397988944996537,False,-0.7330613521281855,6.293106713106996e-10
family-oriented,Feminine,4.429910024069473e-06,4.700389028925492e-06,-2.7047900485601897e-07,-0.6801221769863748,0.5665959340647431,False,-0.6801221769863748,2.7047900485601897e-07
talkative,Feminine,2.4657692154846143e-07,2.6945450784915917e-07,-2.2877586300697737e-08,-0.6429252847303759,0.5861432074230795,False,-0.6429252847303759,2.2877586300697737e-08
kind,Feminine,1.1814498934793287e-05,1.221133710456716e-05,-3.9683816977387304e-07,-0.4483090527381344,0.6978174642285867,False,-0.4483090527381344,3.9683816977387304e-07
emotional,Feminine,2.533931854725754e-06,2.476139799434378e-06,5.779205529137614e-08,0.4460763157681066,0.6991859459755627,False,0.4460763157681066,5.779205529137614e-08
sensitive,Feminine,4.6155647543376783e-07,4.889099952072966e-07,-2.73535197735288e-08,-0.42505108805587094,0.7121632022779881,False,-0.42505108805587094,2.73535197735288e-08
dynamic,Masculine,8.454038358248833e-07,7.439866768202674e-07,1.0141715900461589e-07,4.665201389649291,0.04300498816977648,True,4.665201389649291,1.0141715900461589e-07
strong,Masculine,4.952906455300135e-07,5.349161474356906e-07,-3.9625501905677144e-08,-3.252825394512569,0.08292392865360192,False,-3.252825394512569,3.9625501905677144e-08
self-confident,Masculine,3.1269531923987674e-06,3.5051780196693143e-06,-3.78224827270547e-07,-2.1945764380369592,0.15941692560988588,False,-2.1945764380369592,3.78224827270547e-07
tough,Masculine,8.435160366044667e-08,8.897040186781245e-08,-4.61879820736578e-09,-2.0526637579051186,0.17652169532216355,False,-2.0526637579051186,4.61879820736578e-09
coarse,Masculine,3.1484058035065764e-09,3.3932125588935086e-09,-2.4480675538693216e-10,-1.7508096909956754,0.22208011392503607,False,-1.7508096909956754,2.4480675538693216e-10
qualified,Masculine,5.445571664356095e-08,6.24534807362938e-08,-7.997764092732844e-09,-1.315176517205852,0.31899904618823727,False,-1.315176517205852,7.997764092732844e-09
competent,Masculine,3.0720337069884425e-08,3.110437557087998e-08,-3.8403850099555425e-10,-1.1008449549340642,0.38574616151658625,False,-1.1008449549340642,3.8403850099555425e-10
assertive,Masculine,1.2838054539800358e-07,1.353999865219964e-07,-7.019441123992815e-09,-1.0323931205466101,0.4103820809909534,False,-1.0323931205466101,7.019441123992815e-09
rational,Masculine,5.957095447312948e-07,5.48372467325438e-07,4.7337077405856773e-08,1.0219726470755817,0.41428491164773207,False,1.0219726470755817,4.7337077405856773e-08
ambitious,Masculine,3.7104986016146714e-08,3.879854888415469e-08,-1.693562868007979e-09,-0.8703050950978409,0.47589391447305585,False,-0.8703050950978409,1.693562868007979e-09
articulate,Masculine,3.822594287849957e-08,4.120098114181577e-08,-2.9750382633162033e-09,-0.7898770721168576,0.5123756450430719,False,-0.7898770721168576,2.9750382633162033e-09
stern,Masculine,0.9999667618287023,0.9999653433953017,1.4184334005129529e-06,0.690108269225149,0.5614490686304318,False,0.690108269225149,1.4184334005129529e-06
effective,Masculine,2.753940771982365e-06,2.8688134566754123e-06,-1.148726846930474e-07,-0.4015697390612863,0.726845948909898,False,-0.4015697390612863,1.148726846930474e-07
inspiring,Masculine,1.344140839976273e-07,1.28608715465687e-07,5.805368531940294e-09,0.2342863474295381,0.8365621342025954,False,0.2342863474295381,5.805368531940294e-09
active,Masculine,2.791328750898161e-06,2.7766590068119596e-06,1.4669744086201255e-08,0.0471369488424581,0.966687642807178,False,0.0471369488424581,1.4669744086201255e-08
aggressive,Masculine,2.3469485993515263e-07,2.3508183564751645e-07,-3.869757123638183e-10,-0.014235505476571476,0.9899344874740438,False,-0.014235505476571476,3.869757123638183e-10
