attribute,dimension,north_mean,south_mean,diff,t_statistic,p_value,significant,effect_size
inspirational,Charismatic/Value-Based,0.0001421400355584,0.00013462993058425,7.5101049741499925e-06,109.91291467665455,8.276536435200622e-05,True,109.91291467665455
participative,Participative,0.00029674646804245003,0.00032837537058795,-3.162890254549994e-05,-24.47825077065753,0.001664767876120365,True,-24.47825077065753
modest,Humane-Oriented,0.0046286368350448494,0.0045498801406975,7.875669434734972e-05,6.056721353514309,0.026193618131763602,True,6.056721353514309
independent,Autonomous,0.0011620008842743502,0.00121778948103495,-5.5788596760599895e-05,-3.44737923539073,0.0748223473737406,False,-3.44737923539073
diplomatic,Team-Oriented,0.0007713113743765001,0.0006601697614062999,0.00011114161297020014,1.1637291317130731,0.3645912529506129,False,1.1637291317130731
decisive,Charismatic/Value-Based,6.092513692161584e-06,5.2614231750011656e-06,8.310905171604185e-07,1.0900295543814784,0.3895249525715314,False,1.0900295543814784
status-conscious,Self-Protective,0.0002309260433821,0.00020528008352155,2.5645959860550013e-05,0.8226436945761126,0.4971847234193142,False,0.8226436945761126
integrative,Team-Oriented,0.00411217394515085,0.0044853044638225,-0.00037313051867165006,-0.786547253862629,0.5139448542272409,False,-0.786547253862629
autonomous,Autonomous,9.21842038609652e-05,8.19345775947605e-05,1.0249626266204697e-05,0.7617076989683108,0.5257997527835263,False,0.7617076989683108
humane,Humane-Oriented,0.13106133618681548,0.13839236059015847,-0.0073310244033429894,-0.7247397283278703,0.5439314980931336,False,-0.7247397283278703
integrity,Charismatic/Value-Based,0.00019233589842375,0.00017351525844885,1.882063997489999e-05,0.48012555052246403,0.6785216694839142,False,0.48012555052246403
face-saving,Self-Protective,0.7523938546515969,0.744764938573888,0.0076289160777088805,0.4033276964658464,0.7257399229626689,False,0.4033276964658464
performance-oriented,Charismatic/Value-Based,0.0033166301166476,0.003550710677181,-0.00023408056053339987,-0.380615277300174,0.7401121763078362,False,-0.380615277300174
procedural,Self-Protective,3.096675215968866e-05,3.030699472101453e-05,6.597574386741306e-07,0.3325178023130498,0.7711161142999493,False,0.3325178023130498
conflict-inducer,Self-Protective,0.00370105233793545,0.0035235082189737496,0.00017754411896170027,0.3165465828320118,0.7815725967577529,False,0.3165465828320118
individualistic,Autonomous,0.0438739555428944,0.043640414138018446,0.00023354140487595598,0.18046014985051512,0.8734217754591415,False,0.18046014985051512
self-sacrificial,Charismatic/Value-Based,0.0038446065627087,0.0037373417073977497,0.00010726485531095025,0.16631661581726623,0.8832013179523224,False,0.16631661581726623
self-centered,Self-Protective,0.0038446065627087,0.0037373417073977497,0.00010726485531095025,0.16631661581726623,0.8832013179523224,False,0.16631661581726623
administrative,Team-Oriented,0.0093674038837074,0.0095046210185541,-0.00013721713484670002,-0.12377440427996257,0.9128115762575691,False,-0.12377440427996257
collaborative,Team-Oriented,0.0013332180068758499,0.00131519226102935,1.8025745846499868e-05,0.07879483081124329,0.9443699204836898,False,0.07879483081124329
visionary,Charismatic/Value-Based,0.0354954607786106,0.035859185008425595,-0.0003637242298149962,-0.06470812507943637,0.9542922671280377,False,-0.06470812507943637
democratic,Participative,0.00010236041553197728,0.00010193861338019081,4.218021517864699e-07,0.030555026996986274,0.9783993742611579,False,0.030555026996986274
