trait_type,attribute,Diff (N-S),p-value,significant
Feminine,honest,-3.3528986382779785e-08,0.01692669501933697,True
Feminine,moral,-8.468737312587e-08,0.1143493178724523,False
Feminine,cautious,-3.0718610803915476e-09,0.11622745251248491,False
Feminine,gentle,-7.2003350999048586e-09,0.17654848248804914,False
Feminine,warm,-2.7579998133193104e-08,0.2999174585830484,False
Feminine,caring,-1.9477208920535625e-07,0.3111751720228312,False
Feminine,compassionate,-1.839313055307066e-08,0.3368531316231387,False
Feminine,trustworthy,-6.293106713106996e-10,0.5397988944996537,False
Feminine,family-oriented,-2.7047900485601897e-07,0.5665959340647431,False
Feminine,talkative,-2.2877586300697737e-08,0.5861432074230795,False
Feminine,kind,-3.9683816977387304e-07,0.6978174642285867,False
Feminine,emotional,5.779205529137614e-08,0.6991859459755627,False
Feminine,sensitive,-2.73535197735288e-08,0.7121632022779881,False
Masculine,dynamic,1.0141715900461589e-07,0.04300498816977648,True
Masculine,strong,-3.9625501905677144e-08,0.08292392865360192,False
Masculine,self-confident,-3.78224827270547e-07,0.15941692560988588,False
Masculine,tough,-4.61879820736578e-09,0.17652169532216355,False
Masculine,coarse,-2.4480675538693216e-10,0.22208011392503607,False
Masculine,qualified,-7.997764092732844e-09,0.31899904618823727,False
Masculine,competent,-3.8403850099555425e-10,0.38574616151658625,False
Masculine,assertive,-7.019441123992815e-09,0.4103820809909534,False
Masculine,rational,4.7337077405856773e-08,0.41428491164773207,False
Masculine,ambitious,-1.693562868007979e-09,0.47589391447305585,False
Masculine,articulate,-2.9750382633162033e-09,0.5123756450430719,False
Masculine,stern,1.4184334005129529e-06,0.5614490686304318,False
Masculine,effective,-1.148726846930474e-07,0.726845948909898,False
Masculine,inspiring,5.805368531940294e-09,0.8365621342025954,False
Masculine,active,1.4669744086201255e-08,0.966687642807178,False
Masculine,aggressive,-3.869757123638183e-10,0.9899344874740438,False
