trait_type,attribute,Diff (M-F),p-value,significant
Feminine,sensitive,-9.097190988908826e-08,0.04271686269527089,True
Feminine,emotional,-1.8320827156128324e-07,0.04638063793894019,True
Feminine,kind,-1.2516753434102132e-06,0.04687991719703038,True
Feminine,talkative,-5.0273407185975543e-08,0.09055130307751043,False
Feminine,family-oriented,-5.621744987196323e-07,0.09919546753766516,False
Feminine,trustworthy,1.2137358255879028e-09,0.11242158414765281,False
Feminine,compassionate,-2.0724958849527858e-08,0.25278127512615045,False
Feminine,caring,-2.0433286451985132e-07,0.27736283557255104,False
Feminine,warm,2.810250655271063e-08,0.28665425890910334,False
Feminine,gentle,-4.9522354996953304e-09,0.4336477704552172,False
Feminine,cautious,-1.625597863001978e-09,0.5323164925178198,False
Feminine,moral,4.417380271914641e-08,0.5380355173818856,False
Feminine,honest,-6.24183971772938e-09,0.8169886220115713,False
Masculine,aggressive,3.844374306416091e-08,5.099805034907688e-05,True
Masculine,active,-4.4012350253753574e-07,0.0005584801389076078,True
Masculine,inspiring,-3.5034187423164026e-08,0.013686591835632868,True
Masculine,effective,-4.0446428506003054e-07,0.03823038278745842,True
Masculine,stern,2.906359335863584e-06,0.10141245035883736,False
Masculine,articulate,-5.322842467622429e-09,0.12755823788345566,False
Masculine,ambitious,-2.7512922588558525e-09,0.1485589090497634,False
Masculine,rational,6.544941195503857e-08,0.1901758577705002,False
Masculine,assertive,-9.61210979041469e-09,0.19260350335597673,False
Masculine,competent,-4.933501182665341e-10,0.2109067109785098,False
Masculine,qualified,-8.579968368829662e-09,0.269424982395147,False
Masculine,coarse,1.9760391465492505e-10,0.37207609106471673,False
Masculine,tough,3.181061053842076e-09,0.4328536025849564,False
Masculine,self-confident,2.4333759745911025e-07,0.45919608910133736,False
Masculine,strong,-1.721503953058752e-08,0.6015823128659913,False
Masculine,dynamic,-3.068129410414703e-08,0.710484441663088,False
