Category,Attribute,Model,F_statistic,p_value,Pattern
Feminine,moral,T5-small,2.050692751922337e-07,0.003326063571373419,Male advantage stronger in Global North
Feminine,emotional,T5-small,3.5719632320000316e-07,0.002611278056860354,Female advantage stronger in Global South
Feminine,trustworthy,T5-small,8.110908282765841e-08,0.0023972549720246267,Male advantage stronger in Global North
Masculine,rational,T5-small,1.3715390834506875e-07,0.001598805013490859,Male advantage stronger in Global North
Feminine,compassionate,T5-small,8.658096953856223e-08,0.0013604049951050693,Female advantage stronger in Global South
Masculine,aggressive,T5-small,9.748704273000557e-07,0.0013246057088449135,Male advantage stronger in Global North
Masculine,ambitious,T5-small,2.330750136368657e-08,0.0010693498679435797,Male advantage stronger in Global North
Masculine,inspiring,T5-small,7.392489319380858e-08,0.00104784469916014,Female advantage stronger in Global South
Masculine,competent,T5-small,-4.6502881986614734e-08,0.0008211373515039589,Male advantage stronger in Global South
Masculine,tough,T5-small,7.776809690000026e-08,0.0007316722662394174,Male advantage stronger in Global North
Masculine,qualified,T5-small,8.16227657000131e-08,0.0006775763942133853,Male advantage stronger in Global North
Feminine,gentle,T5-small,4.4722278371269256e-08,0.0006130325185410707,Male advantage stronger in Global North
Feminine,warm,T5-small,5.244683509032365e-08,0.0005233756424623006,Male advantage stronger in Global North
Masculine,assertive,T5-small,2.8755929425135316e-08,0.000493758540164615,Male advantage stronger in Global North
Feminine,talkative,T5-small,-7.275440740001624e-08,0.0003594831986701307,Male advantage stronger in Global South
Masculine,strong,T5-small,-4.0976682390021085e-07,0.00031261956046933184,Female advantage stronger in Global North
Feminine,sensitive,T5-small,5.7658489499990816e-08,0.00031227494045983,Female advantage stronger in Global South
Masculine,effective,T5-small,-6.144677920003581e-07,0.00028880826175055,Female advantage stronger in Global North
Feminine,caring,T5-small,-5.254939420000666e-08,0.00028434423506537793,Male advantage stronger in Global South
Feminine,honest,T5-small,1.7953046999984873e-08,0.00012215877937144236,Male advantage stronger in Global North
Masculine,active,T5-small,-2.050277514999664e-07,6.204137796779821e-05,Female advantage stronger in Global North
Masculine,articulate,T5-small,5.77978320000401e-09,4.473162061847134e-05,Male advantage stronger in Global North
Masculine,self-confident,T5-small,3.0050684600001903e-08,3.373772667794395e-05,Female advantage stronger in Global South
Feminine,family-oriented,T5-small,-7.821734999925375e-09,2.2593333367338934e-05,Female advantage stronger in Global North
Feminine,kind,T5-small,1.6329129800055076e-08,2.1413407336983442e-05,Male advantage stronger in Global North
Masculine,coarse,T5-small,-1.542162397437342e-11,7.745809409933214e-06,Female advantage stronger in Global North
Feminine,cautious,T5-small,-4.0916259998733696e-10,2.7446098148726483e-06,Male advantage stronger in Global South
Masculine,dynamic,T5-small,4.649903000077289e-10,1.2446825017915907e-06,Male advantage stronger in Global North
Masculine,stern,T5-small,-9.434490407800311e-07,9.547533096666093e-07,Male advantage stronger in Global South
Feminine,caring,T5-large,3.25647428265912e-08,0.026645991168806175,Female advantage stronger in Global South
Feminine,moral,T5-large,-8.993897527619289e-09,0.021622731098427002,Male advantage stronger in Global South
Masculine,qualified,T5-large,1.1739066682683222e-09,0.02008236639336649,Female advantage stronger in Global South
Feminine,talkative,T5-large,4.457588918967446e-09,0.017276424128549402,Female advantage stronger in Global South
Feminine,compassionate,T5-large,2.418239826023098e-09,0.015340943256262903,Female advantage stronger in Global South
Masculine,inspiring,T5-large,-1.5465425405971926e-09,0.011759760323081044,Female advantage stronger in Global North
Feminine,sensitive,T5-large,5.236125371566657e-09,0.011018011751713934,Female advantage stronger in Global South
Feminine,gentle,T5-large,5.988905557236613e-10,0.010058772606659216,Female advantage stronger in Global South
Masculine,articulate,T5-large,3.9874417906880703e-10,0.010040529303811857,Female advantage stronger in Global South
Masculine,rational,T5-large,5.415963313235932e-09,0.009467788595853503,Male advantage stronger in Global North
Masculine,self-confident,T5-large,-2.7754986286006976e-08,0.00836985439476919,Male advantage stronger in Global South
Feminine,warm,T5-large,-2.5191950664030323e-09,0.008188027844349525,Male advantage stronger in Global South
Feminine,family-oriented,T5-large,3.3307657792134515e-08,0.007296071596079599,Female advantage stronger in Global South
Masculine,effective,T5-large,1.652611992686512e-08,0.005878300652956021,Female advantage stronger in Global South
Masculine,dynamic,T5-large,-3.915550129649353e-09,0.0049271089747891855,Female advantage stronger in Global North
Masculine,coarse,T5-large,-1.4790157245455883e-11,0.004521864904399422,Male advantage stronger in Global South
Feminine,trustworthy,T5-large,-5.601605114093845e-11,0.00410795563128996,Male advantage stronger in Global South
Masculine,assertive,T5-large,5.115616178041999e-10,0.003878691229262875,Female advantage stronger in Global South
Feminine,kind,T5-large,4.13470691630838e-08,0.00344188390325704,Female advantage stronger in Global South
Masculine,ambitious,T5-large,1.227703166443679e-10,0.003234903797448315,Female advantage stronger in Global South
Masculine,strong,T5-large,1.3242575179289877e-09,0.002570857670462036,Female advantage stronger in Global South
Feminine,cautious,T5-large,1.0269267504812724e-10,0.002111950112451025,Female advantage stronger in Global South
Masculine,tough,T5-large,-1.6955017571807317e-10,0.001956476042396463,Male advantage stronger in Global South
Feminine,emotional,T5-large,-4.226915534911694e-09,0.0016873672979913804,Female advantage stronger in Global North
Feminine,honest,T5-large,5.856461162220945e-10,0.0016389378625031527,Female advantage stronger in Global South
Masculine,active,T5-large,-2.319411419761753e-09,0.0008331237497963284,Female advantage stronger in Global North
Masculine,aggressive,T5-large,-6.33576559484189e-11,0.0002697352020403469,Male advantage stronger in Global South
Masculine,competent,T5-large,6.126195018351793e-12,0.0001981794902613897,Female advantage stronger in Global South
Masculine,stern,T5-large,-9.45178904032673e-08,9.452109914769407e-08,Male advantage stronger in Global South
Masculine,stern,BERT-base,1.2664450069900524e-05,0.006227860168593747,Male advantage stronger in Global North
Masculine,tough,BERT-base,5.4301753034998596e-05,0.0062120688192465745,Female advantage stronger in Global South
Feminine,sensitive,BERT-base,0.00031467112331369507,0.00589201185858275,Female advantage stronger in Global South
Masculine,inspiring,BERT-base,-9.473931282099907e-06,0.005470888997485415,Female advantage stronger in Global North
