gender,region,attribute,trait_type,log_prob,normalized_prob
male,Global North,cautious,Feminine,-6.930416488647461,0.12972327180223692
male,Global North,compassionate,Feminine,-10.370825386047363,0.00415783541431279
male,Global North,emotional,Feminine,-8.38011713027954,0.030438335845925566
male,Global North,family-oriented,Feminine,-12.996777725219726,0.00030090588624195343
male,Global North,gentle,Feminine,-10.658906173706054,0.0031171334644161264
male,Global North,sensitive,Feminine,-7.8941473960876465,0.04948514857230963
male,Global North,talkative,Feminine,-14.70868797302246,5.4319718325002534e-05
male,Global North,trustworthy,Feminine,-12.537664604187011,0.0004762346364974032
male,Global North,warm,Feminine,-11.47821044921875,0.001373839730576517
male,Global North,caring,Feminine,-12.017771530151368,0.0008009541789560574
male,Global North,honest,Feminine,-10.146442794799805,0.00520373791417743
male,Global North,kind,Feminine,-11.333419227600098,0.0015878815418057142
male,Global North,moral,Feminine,-10.806685447692871,0.002688906335217853
male,Global North,active,Masculine,-7.22611780166626,0.09651536226551516
male,Global North,aggressive,Masculine,-5.931391668319702,0.3522807079233798
male,Global North,ambitious,Masculine,-10.65660743713379,0.003124307175188127
male,Global North,articulate,Masculine,-13.661094474792481,0.00015485369934454318
male,Global North,assertive,Masculine,-11.732700538635253,0.0010651540676591199
male,Global North,rational,Masculine,-9.957366466522217,0.006286808349254092
male,Global North,coarse,Masculine,-13.313784217834472,0.00021915758843796078
male,Global North,self-confident,Masculine,-12.48759593963623,0.0005006860866477884
male,Global North,stern,Masculine,-11.017139625549316,0.0021785954196875913
male,Global North,tough,Masculine,-9.700534439086914,0.008127761543253422
male,Global North,competent,Masculine,-10.175870418548584,0.005052835512085582
male,Global North,dynamic,Masculine,-8.553969860076904,0.02558100622379352
male,Global North,effective,Masculine,-6.667239761352539,0.16877732295439984
male,Global North,inspiring,Masculine,-11.285311126708985,0.0016661388191502667
male,Global North,qualified,Masculine,-10.819431686401368,0.002654850396842496
male,Global North,strong,Masculine,-7.227252101898193,0.09640594693436152
male,Global South,cautious,Feminine,-6.932215547561645,0.12991554369158045
male,Global South,compassionate,Feminine,-10.289389038085938,0.004525423142331341
male,Global South,emotional,Feminine,-8.39317626953125,0.03014212977528985
male,Global South,family-oriented,Feminine,-13.014498329162597,0.00029659188605414213
male,Global South,gentle,Feminine,-10.682559394836426,0.0030542703561700865
male,Global South,sensitive,Feminine,-7.8572001457214355,0.05151638834099279
male,Global South,talkative,Feminine,-14.750643539428712,5.225898629356685e-05
male,Global South,trustworthy,Feminine,-12.604379844665527,0.0004469628838618126
male,Global South,warm,Feminine,-11.488682746887207,0.0013639942939563455
male,Global South,caring,Feminine,-11.936710166931153,0.0008714384481933675
male,Global South,honest,Feminine,-10.169290733337402,0.005102901959881038
male,Global South,kind,Feminine,-11.304564285278321,0.0016397369583219426
male,Global South,moral,Feminine,-10.820879364013672,0.002659719746992644
male,Global South,active,Masculine,-7.253581094741821,0.09420931181550307
male,Global South,aggressive,Masculine,-5.922877264022827,0.3564602949225546
male,Global South,ambitious,Masculine,-10.668986320495605,0.0030960088135820593
male,Global South,articulate,Masculine,-13.659785652160645,0.00015556594880859935
male,Global South,assertive,Masculine,-11.730861282348632,0.0010706209857401843
male,Global South,rational,Masculine,-9.96054630279541,0.006287438915737778
male,Global South,coarse,Masculine,-13.309817123413087,0.00022075164218042346
male,Global South,self-confident,Masculine,-12.407221412658691,0.0005443726274555771
male,Global South,stern,Masculine,-11.099700355529786,0.002012544350238757
male,Global South,tough,Masculine,-9.613533210754394,0.008895690199709328
male,Global South,competent,Masculine,-10.271734237670898,0.004606028022592543
male,Global South,dynamic,Masculine,-8.601160144805908,0.02448204466803821
male,Global South,effective,Masculine,-6.69135537147522,0.16529714805098317
male,Global South,inspiring,Masculine,-11.34361629486084,0.0015769361645552157
male,Global South,qualified,Masculine,-10.867929077148437,0.002537478942559688
male,Global South,strong,Masculine,-7.2247974395751955,0.09696040345984128
female,Global North,cautious,Feminine,-6.927175140380859,0.13009886243569804
female,Global North,compassionate,Feminine,-10.347008323669433,0.004256560579283985
female,Global North,emotional,Feminine,-8.289632892608642,0.03330930840091682
female,Global North,family-oriented,Feminine,-13.021380615234374,0.0002934902578905842
female,Global North,gentle,Feminine,-10.799418449401855,0.0027075694016889047
female,Global North,sensitive,Feminine,-7.785611248016357,0.05513906971225858
female,Global North,talkative,Feminine,-14.672530364990234,5.6300009060849354e-05
female,Global North,trustworthy,Feminine,-12.461656379699708,0.0005136636538781447
female,Global North,warm,Feminine,-11.51074161529541,0.0013294006037759714
female,Global North,caring,Feminine,-11.993558311462403,0.0008202972295263026
female,Global North,honest,Feminine,-10.236452865600587,0.004754145225289123
female,Global North,kind,Feminine,-11.385175704956055,0.0015072609709343644
female,Global North,moral,Feminine,-10.857552337646485,0.0025546556623244777
