gender,region,attribute,dimension,log_prob,normalized_prob
male,Global North,visionary,Charismatic/Value-Based,-8.250817584991456,0.009926522528206194
male,Global North,inspirational,Charismatic/Value-Based,-10.219815826416015,0.0013857090758198428
male,Global North,self-sacrificial,Charismatic/Value-Based,-11.448176002502441,0.00040569720449833396
male,Global North,integrity,Charismatic/Value-Based,-12.139566612243652,0.0002032052333166621
male,Global North,decisive,Charismatic/Value-Based,-5.7745002746582035,0.11809950460505722
male,Global North,performance-oriented,Charismatic/Value-Based,-13.103844451904298,7.747370823518076e-05
male,Global North,collaborative,Team-Oriented,-6.98240213394165,0.035290918664174456
male,Global North,integrative,Team-Oriented,-16.359751892089843,2.9862881357900136e-06
male,Global North,diplomatic,Team-Oriented,-7.652409458160401,0.018058533533290975
male,Global North,administrative,Team-Oriented,-10.526424217224122,0.0010197969980010998
male,Global North,democratic,Participative,-4.015141248703003,0.686006123754813
male,Global North,participative,Participative,-15.442606544494629,7.472103388584743e-06
male,Global North,modest,Humane-Oriented,-9.265354919433594,0.0035990606602700243
male,Global North,humane,Humane-Oriented,-7.916213893890381,0.013871188362159975
male,Global North,independent,Autonomous,-6.530198001861573,0.05546930481086205
male,Global North,individualistic,Autonomous,-8.580452346801758,0.007139019602459096
male,Global North,autonomous,Autonomous,-6.667133808135986,0.04837068725428064
male,Global North,self-centered,Self-Protective,-11.448176002502441,0.00040569720449833396
male,Global North,status-conscious,Self-Protective,-14.912886428833009,1.269104533825249e-05
male,Global North,face-saving,Self-Protective,-14.944411277770996,1.2297202584490005e-05
male,Global North,procedural,Self-Protective,-11.427285194396973,0.0004142616950324021
male,Global North,conflict-inducer,Self-Protective,-12.051788520812988,0.00022184846557746598
male,Global South,visionary,Charismatic/Value-Based,-8.247630786895751,0.009903697743293065
male,Global South,inspirational,Charismatic/Value-Based,-10.143495178222656,0.0014874210858484348
male,Global South,self-sacrificial,Charismatic/Value-Based,-11.429327201843261,0.0004111536795805831
male,Global South,integrity,Charismatic/Value-Based,-12.092879295349121,0.00021175182821999902
male,Global South,decisive,Charismatic/Value-Based,-5.832579803466797,0.11082575357096307
