gender,region,attribute,trait_type,log_prob,normalized_prob
male,Global North,cautious,Feminine,-7.251478052139282,0.08881597242991696
male,Global North,compassionate,Feminine,-8.783823680877685,0.019186768000169198
male,Global North,emotional,Feminine,-9.178299045562744,0.012932525699629016
male,Global North,family-oriented,Feminine,-14.098648262023925,9.436323831033078e-05
male,Global North,gentle,Feminine,-11.684298896789551,0.0010552161831551506
male,Global North,sensitive,Feminine,-8.271642398834228,0.032021327233012056
male,Global North,talkative,Feminine,-14.778039360046387,4.783513802688052e-05
male,Global North,trustworthy,Feminine,-13.667068099975586,0.00014528999848787487
male,Global North,warm,Feminine,-11.961623191833496,0.000799652007828371
male,Global North,caring,Feminine,-11.258675575256348,0.0016150549492718073
male,Global North,honest,Feminine,-10.432811260223389,0.003688549515137936
male,Global North,kind,Feminine,-13.150964164733887,0.00024343151975186192
male,Global North,moral,Feminine,-11.03845853805542,0.00201291922185519
male,Global North,active,Masculine,-6.89712815284729,0.126585301721243
male,Global North,aggressive,Masculine,-6.029314851760864,0.3014878460988761
male,Global North,ambitious,Masculine,-10.191688728332519,0.004694332017928458
male,Global North,articulate,Masculine,-15.370834922790527,2.6442297653260816e-05
male,Global North,assertive,Masculine,-9.868782424926758,0.006483510650684375
male,Global North,rational,Masculine,-8.885395526885986,0.0173336383830934
male,Global North,coarse,Masculine,-14.547842216491699,6.021717545352111e-05
male,Global North,self-confident,Masculine,-12.481826972961425,0.0004753126802557225
male,Global North,stern,Masculine,-11.504699325561523,0.0012628173666575104
male,Global North,tough,Masculine,-9.767397689819337,0.007175316454642431
male,Global North,competent,Masculine,-9.390832233428956,0.010456380039826954
male,Global North,dynamic,Masculine,-8.634642601013184,0.022273596302665403
male,Global North,effective,Masculine,-6.170285367965699,0.2618466920640491
male,Global North,inspiring,Masculine,-11.955288124084472,0.0008047339376623893
male,Global North,qualified,Masculine,-11.251816558837891,0.0016261707157184256
male,Global North,strong,Masculine,-7.4239115715026855,0.07474878695903736
male,Global South,cautious,Feminine,-7.415330457687378,0.07473932540528451
male,Global South,compassionate,Feminine,-8.782547950744629,0.019044701093791062
