gender,region,attribute,trait_type,log_prob,normalized_prob
male,Global North,cautious,Feminine,-21.722377014160156,4.6301517943730204e-08
male,Global North,compassionate,Feminine,-20.62539291381836,1.3867857507607885e-07
male,Global North,emotional,Feminine,-17.75727767944336,2.4412709900613847e-06
male,Global North,family-oriented,Feminine,-17.22496681213379,4.157149689157691e-06
male,Global North,gentle,Feminine,-21.575768280029298,5.3612565932929356e-08
male,Global North,sensitive,Feminine,-19.523555755615234,4.1737955183211533e-07
male,Global North,talkative,Feminine,-20.15237922668457,2.225546151852155e-07
male,Global North,trustworthy,Feminine,-22.924641799926757,1.3914200811754674e-08
male,Global North,warm,Feminine,-19.82972869873047,3.072995672634547e-07
male,Global North,caring,Feminine,-18.61954460144043,1.03071411676334e-06
male,Global North,honest,Feminine,-19.73570861816406,3.375937135383189e-07
male,Global North,kind,Feminine,-16.23397216796875,1.1198998030378952e-05
male,Global North,moral,Feminine,-19.582620239257814,3.9344115748290716e-07
male,Global North,active,Masculine,-17.70562324523926,2.5706871467744524e-06
male,Global North,aggressive,Masculine,-20.02060775756836,2.53900892053246e-07
male,Global North,ambitious,Masculine,-21.980720901489256,3.576003246587987e-08
male,Global North,articulate,Masculine,-21.9834041595459,3.566420768945555e-08
male,Global North,assertive,Masculine,-20.739673233032228,1.2370238090724728e-07
male,Global North,rational,Masculine,-19.11216812133789,6.29788241537123e-07
male,Global North,coarse,Masculine,-24.380895614624023,3.243510221522675e-09
male,Global North,self-confident,Masculine,-17.47370376586914,3.241683244556821e-06
male,Global North,stern,Masculine,-4.8343177318573,0.9999681913788975
male,Global North,tough,Masculine,-21.104370880126954,8.589974664343818e-08
male,Global North,competent,Masculine,-22.140638732910155,3.0475193559505746e-08
male,Global North,dynamic,Masculine,-18.837229919433593,8.290843012403974e-07
male,Global North,effective,Masculine,-17.711415481567382,2.555840159434066e-06
male,Global North,inspiring,Masculine,-20.79957160949707,1.1651035465089595e-07
male,Global North,qualified,Masculine,-21.636386489868165,5.04592091262132e-08
male,Global North,strong,Masculine,-19.36925849914551,4.87014190144202e-07
male,Global South,cautious,Feminine,-21.64630699157715,4.9322032686597694e-08
male,Global South,compassionate,Feminine,-20.495703125,1.5586258571613796e-07
