gender,region,attribute,dimension,log_prob,normalized_prob
male,Global North,visionary,Charismatic/Value-Based,-14.915890312194824,0.0013907898350106224
male,Global North,inspirational,Charismatic/Value-Based,-14.78613452911377,0.001583484178497342
male,Global North,self-sacrificial,Charismatic/Value-Based,-10.735443115234375,0.09095082804764394
male,Global North,integrity,Charismatic/Value-Based,-15.23185863494873,0.0010140005926491333
male,Global North,decisive,Charismatic/Value-Based,-14.650997543334961,0.0018126041737168636
male,Global North,performance-oriented,Charismatic/Value-Based,-12.134843635559083,0.022441647344299372
male,Global North,collaborative,Team-Oriented,-12.545785713195801,0.01487938073679941
male,Global North,integrative,Team-Oriented,-16.139739418029784,0.00040902569807021484
male,Global North,diplomatic,Team-Oriented,-14.454545783996583,0.002206078137366102
male,Global North,administrative,Team-Oriented,-12.901695823669433,0.010423535736763799
male,Global North,democratic,Participative,-13.3044282913208,0.0069680389771022465
male,Global North,participative,Participative,-15.334006309509277,0.0009155372890216945
male,Global North,modest,Humane-Oriented,-11.998205757141113,0.025727394741678677
male,Global North,humane,Humane-Oriented,-10.180509948730469,0.1584203868332085
male,Global North,independent,Autonomous,-11.154098320007325,0.05983936994260761
male,Global North,individualistic,Autonomous,-10.111689567565918,0.16970685343522202
male,Global North,autonomous,Autonomous,-14.888980293273926,0.0014287241329773606
male,Global North,self-centered,Self-Protective,-10.735443115234375,0.09095082804764394
male,Global North,status-conscious,Self-Protective,-12.800208854675294,0.011536930870084392
male,Global North,face-saving,Self-Protective,-9.8070707321167,0.23014082230829153
male,Global North,procedural,Self-Protective,-15.631558609008788,0.0006799088836484936
male,Global North,conflict-inducer,Self-Protective,-10.675454330444335,0.09657383005769672
male,Global South,visionary,Charismatic/Value-Based,-14.922830772399902,0.0013741109051838341
male,Global South,inspirational,Charismatic/Value-Based,-14.76447353363037,0.0016098872513569179
male,Global South,self-sacrificial,Charismatic/Value-Based,-10.72547264099121,0.09139264812631791
male,Global South,integrity,Charismatic/Value-Based,-15.229595375061034,0.001011103496172627
male,Global South,decisive,Charismatic/Value-Based,-14.63926944732666,0.0018246135891340982
male,Global South,performance-oriented,Charismatic/Value-Based,-12.117874336242675,0.022709045918466744
male,Global South,collaborative,Team-Oriented,-12.557291984558105,0.014633972297007759
male,Global South,integrative,Team-Oriented,-16.14804153442383,0.0004035705931772157
male,Global South,diplomatic,Team-Oriented,-14.447507286071778,0.0022103047321830574
male,Global South,administrative,Team-Oriented,-12.89735279083252,0.010415393844588715
male,Global South,democratic,Participative,-13.30911693572998,0.006899995395136284
male,Global South,participative,Participative,-15.333909225463866,0.0009109461033905535
male,Global South,modest,Humane-Oriented,-11.998043251037597,0.025600053182475834
male,Global South,humane,Humane-Oriented,-10.171648025512695,0.15901358748486227
male,Global South,independent,Autonomous,-11.160027122497558,0.05918159258433301
male,Global South,individualistic,Autonomous,-10.107563591003418,0.16953749112796165
male,Global South,autonomous,Autonomous,-14.903033638000489,0.00140158542450232
male,Global South,self-centered,Self-Protective,-10.72547264099121,0.09139264812631791
male,Global South,status-conscious,Self-Protective,-12.779608726501465,0.01171686144464542
male,Global South,face-saving,Self-Protective,-9.79893798828125,0.23083419717948256
male,Global South,procedural,Self-Protective,-15.647308921813964,0.0006658630622283812
male,Global South,conflict-inducer,Self-Protective,-10.684022140502929,0.0952605281310749
female,Global North,visionary,Charismatic/Value-Based,-14.859732627868652,0.0014976841642265746
female,Global North,inspirational,Charismatic/Value-Based,-14.649521827697754,0.0018480496222694404
female,Global North,self-sacrificial,Charismatic/Value-Based,-10.737090492248536,0.09244021952487104
female,Global North,integrity,Charismatic/Value-Based,-15.23677749633789,0.001027239550162354
female,Global North,decisive,Charismatic/Value-Based,-14.73917121887207,0.0016895824604079611
female,Global North,performance-oriented,Charismatic/Value-Based,-12.156122779846191,0.02236572990941125
female,Global North,collaborative,Team-Oriented,-12.35885066986084,0.018261627173737912
female,Global North,integrative,Team-Oriented,-15.928129386901855,0.0005145426997359305
female,Global North,diplomatic,Team-Oriented,-14.401747703552246,0.0023676666845054597
female,Global North,administrative,Team-Oriented,-12.912716484069824,0.010495390579655326
female,Global North,democratic,Participative,-13.305374717712402,0.0070871120810373795
female,Global North,participative,Participative,-15.250607681274413,0.0010131304279856494
female,Global North,modest,Humane-Oriented,-12.0993257522583,0.02367280450843544
female,Global North,humane,Humane-Oriented,-10.23577880859375,0.15260819865371403
female,Global North,independent,Autonomous,-11.134869575500488,0.062102303207151634
female,Global North,individualistic,Autonomous,-10.211638641357421,0.15633701210295678
female,Global North,autonomous,Autonomous,-14.959164237976074,0.0013559311507663856
female,Global North,self-centered,Self-Protective,-10.737090492248536,0.09244021952487104
female,Global North,status-conscious,Self-Protective,-12.841105079650879,0.011274545484534666
female,Global North,face-saving,Self-Protective,-9.785376358032227,0.23943363836902531
female,Global North,procedural,Self-Protective,-15.63189239501953,0.0006919512716148516
female,Global North,conflict-inducer,Self-Protective,-10.663742065429688,0.09947542084892363
female,Global South,visionary,Charismatic/Value-Based,-14.86667308807373,0.0014798421345521677
female,Global South,inspirational,Charismatic/Value-Based,-14.627860832214356,0.0018790149412505918
female,Global South,self-sacrificial,Charismatic/Value-Based,-10.72712001800537,0.09289673373915086
female,Global South,integrity,Charismatic/Value-Based,-15.234514236450195,0.0010243868801055917
female,Global South,decisive,Charismatic/Value-Based,-14.72744312286377,0.0017009133669421245
female,Global South,performance-oriented,Charismatic/Value-Based,-12.139153480529785,0.022634041267339675
female,Global South,collaborative,Team-Oriented,-12.370356941223145,0.017961876922022824
female,Global South,integrative,Team-Oriented,-15.936431503295898,0.0005077210994605648
female,Global South,diplomatic,Team-Oriented,-14.394709205627441,0.0023723933518506896
female,Global South,administrative,Team-Oriented,-12.90837345123291,0.01048803467992051
female,Global South,democratic,Participative,-13.310063362121582,0.0070184692745031705
female,Global South,participative,Participative,-15.250510597229004,0.0010081307838223467
female,Global South,modest,Humane-Oriented,-12.099163246154784,0.023557523959494057
female,Global South,humane,Humane-Oriented,-10.226916885375976,0.15319193601471387
female,Global South,independent,Autonomous,-11.140798377990723,0.06142458279786917
female,Global South,individualistic,Autonomous,-10.207512664794923,0.1561935337845061
female,Global South,autonomous,Autonomous,-14.973217582702636,0.001330281962460947
female,Global South,self-centered,Self-Protective,-10.72712001800537,0.09289673373915086
female,Global South,status-conscious,Self-Protective,-12.820504951477051,0.0114513033456932
female,Global South,face-saving,Self-Protective,-9.777243614196777,0.2401742952855145
female,Global South,procedural,Self-Protective,-15.647642707824707,0.0006777110895213565
female,Global South,conflict-inducer,Self-Protective,-10.672309875488281,0.09813053958015487
