gender,region,attribute,trait_type,log_prob,normalized_prob
male,Global North,cautious,Feminine,-11.059380149841308,0.0001495976058547888
male,Global North,compassionate,Feminine,-11.962759590148925,6.061665082725197e-05
male,Global North,emotional,Feminine,-11.212435340881347,0.00012836706698837668
male,Global North,family-oriented,Feminine,-10.244158744812012,0.0003380421077268306
male,Global North,gentle,Feminine,-11.733023071289063,7.62720184469676e-05
male,Global North,sensitive,Feminine,-10.897602653503418,0.0001758667415736947
male,Global North,talkative,Feminine,-10.754249382019044,0.0002029743932764829
male,Global North,trustworthy,Feminine,-12.495921516418457,3.556662489545901e-05
male,Global North,warm,Feminine,-11.43011531829834,0.0001032562634867191
male,Global North,caring,Feminine,-10.852388381958008,0.00018400093325812643
male,Global North,honest,Feminine,-11.064641761779786,0.00014881254845072362
male,Global North,kind,Feminine,-9.425742721557617,0.0007663097719775244
male,Global North,moral,Feminine,-11.86415729522705,6.689819032916326e-05
male,Global North,active,Masculine,-7.964262962341309,0.0033045852385531933
male,Global North,aggressive,Masculine,-9.423020267486573,0.0007683988575653914
male,Global North,ambitious,Masculine,-12.952129936218261,2.2537921159075404e-05
male,Global North,articulate,Masculine,-11.19837532043457,0.0001301846583182354
male,Global North,assertive,Masculine,-11.974360084533691,5.991753061984587e-05
male,Global North,rational,Masculine,-11.575596809387207,8.927597388320454e-05
male,Global North,coarse,Masculine,-15.370755004882813,2.006865810268907e-06
male,Global North,self-confident,Masculine,-9.281740188598633,0.0008850012195331441
male,Global North,stern,Masculine,-2.263739824295044,0.9881496049827103
male,Global North,tough,Masculine,-11.372306632995606,0.00010940127874312258
male,Global North,competent,Masculine,-12.014011573791503,5.758819724808064e-05
male,Global North,dynamic,Masculine,-10.133394622802735,0.0003776374426087197
male,Global North,effective,Masculine,-8.41729507446289,0.0021007173006899376
male,Global North,inspiring,Masculine,-11.85406322479248,6.757688500754653e-05
male,Global North,qualified,Masculine,-11.244926452636719,0.00012426330714151155
male,Global North,strong,Masculine,-8.88594913482666,0.0013147214233161528
male,Global South,cautious,Feminine,-11.062994194030761,0.00014963493379747174
male,Global South,compassionate,Feminine,-11.94926815032959,6.167783306023142e-05
male,Global South,emotional,Feminine,-11.189566230773925,0.00013184493750898713
male,Global South,family-oriented,Feminine,-10.2484769821167,0.0003378884342738737
male,Global South,gentle,Feminine,-11.744254302978515,7.571213443929602e-05
male,Global South,sensitive,Feminine,-10.898052787780761,0.00017646807101060307
male,Global South,talkative,Feminine,-10.741938018798828,0.00020628417907261033
male,Global South,trustworthy,Feminine,-12.537638282775879,3.424547585723983e-05
male,Global South,warm,Feminine,-11.44444522857666,0.00010218118064772512
male,Global South,caring,Feminine,-10.834573554992676,0.0001880333220380419
male,Global South,honest,Feminine,-11.086894416809082,0.00014610102437410892
male,Global South,kind,Feminine,-9.433209419250488,0.0007635536019411869
male,Global South,moral,Feminine,-11.890879249572754,6.53863484532442e-05
male,Global South,active,Masculine,-7.975924968719482,0.003278914751815756
male,Global South,aggressive,Masculine,-9.446389865875243,0.0007535556578697188
male,Global South,ambitious,Masculine,-12.981378364562989,2.1972999022678116e-05
male,Global South,articulate,Masculine,-11.206448364257813,0.00012963779671803868
male,Global South,assertive,Masculine,-11.988784980773925,5.9288049895427856e-05
male,Global South,rational,Masculine,-11.614891242980956,8.616822618874486e-05
male,Global South,coarse,Masculine,-15.391011428833007,1.9742356645711834e-06
male,Global South,self-confident,Masculine,-9.276618003845215,0.0008929894289769066
male,Global South,stern,Masculine,-2.267512249946594,0.9882396391368364
male,Global South,tough,Masculine,-11.39457302093506,0.00010740639521492083
male,Global South,competent,Masculine,-12.001611137390137,5.8532468045955645e-05
male,Global South,dynamic,Masculine,-10.158870506286622,0.00036956337480430597
male,Global South,effective,Masculine,-8.429706954956055,0.00208283618012277
male,Global South,inspiring,Masculine,-11.842891502380372,6.860059750089127e-05
male,Global South,qualified,Masculine,-11.26267204284668,0.00012255019536679292
male,Global South,strong,Masculine,-8.910844612121583,0.0012873590294812918
female,Global North,cautious,Feminine,-11.063460159301759,0.00014852247897446645
female,Global North,compassionate,Feminine,-11.881140327453613,6.556592678206055e-05
female,Global North,emotional,Feminine,-11.111499977111816,0.00014155615628271183
female,Global North,family-oriented,Feminine,-10.193463706970215,0.00035450865937506547
female,Global North,gentle,Feminine,-11.81326732635498,7.017058129313963e-05
female,Global North,sensitive,Feminine,-10.802629280090333,0.00019278338470826473
female,Global North,talkative,Feminine,-10.773284339904786,0.0001985244248675671
female,Global North,trustworthy,Feminine,-12.55617160797119,3.3382268363206365e-05
female,Global North,warm,Feminine,-11.47708683013916,9.821015775929644e-05
female,Global North,caring,Feminine,-10.862328910827637,0.00018161109658193888
female,Global North,honest,Feminine,-11.068203163146972,0.00014781970423470933
female,Global North,kind,Feminine,-9.428814888000488,0.0007615696189931856
female,Global North,moral,Feminine,-12.006833839416505,5.7821613411519205e-05
female,Global North,active,Masculine,-7.953296184539795,0.0033305751810946034
female,Global North,aggressive,Masculine,-9.48786973953247,0.0007178974561540077
female,Global North,ambitious,Masculine,-12.991167259216308,2.16072567828795e-05
female,Global North,articulate,Masculine,-11.206092643737794,0.00012877978285215713
female,Global North,assertive,Masculine,-12.018074989318848,5.71752716062762e-05
female,Global North,rational,Masculine,-11.617626762390136,8.533372257817037e-05
female,Global North,coarse,Masculine,-15.367207145690918,2.0076990878736006e-06
female,Global North,self-confident,Masculine,-9.27474660873413,0.0008884246791172872
female,Global North,stern,Masculine,-2.2606766700744627,0.9880808541636753
female,Global North,tough,Masculine,-11.408988952636719,0.00010513103526537782
female,Global North,competent,Masculine,-12.061321449279784,5.475534723796141e-05
female,Global North,dynamic,Masculine,-10.13036289215088,0.0003775993026610077
female,Global North,effective,Masculine,-8.380486011505127,0.002172666443793655
female,Global North,inspiring,Masculine,-11.781142616271973,7.246138964506171e-05
female,Global North,qualified,Masculine,-11.290679931640625,0.00011833464059328662
female,Global North,strong,Masculine,-8.867996501922608,0.0013343505562279563
female,Global South,cautious,Feminine,-11.067074203491211,0.00014855939775457752
female,Global South,compassionate,Feminine,-11.867648887634278,6.671368998457856e-05
female,Global South,emotional,Feminine,-11.088630867004394,0.00014539122312656852
female,Global South,family-oriented,Feminine,-10.197781944274903,0.0003543471641870918
female,Global South,gentle,Feminine,-11.824498558044434,6.965541956383932e-05
female,Global South,sensitive,Feminine,-10.803079414367676,0.0001934423726347819
female,Global South,talkative,Feminine,-10.76097297668457,0.0002017614562563706
female,Global South,trustworthy,Feminine,-12.597888374328614,3.214222840781484e-05
female,Global South,warm,Feminine,-11.491416740417481,9.718752175538677e-05
female,Global South,caring,Feminine,-10.844514083862304,0.00018559093596764536
female,Global South,honest,Feminine,-11.09045581817627,0.00014512613320519682
female,Global South,kind,Feminine,-9.43628158569336,0.0007588297780865078
female,Global South,moral,Feminine,-12.033555793762208,5.6514840810792384e-05
female,Global South,active,Masculine,-7.964958190917969,0.0033046996666057705
female,Global South,aggressive,Masculine,-9.511239337921143,0.0007040291268857924
female,Global South,ambitious,Masculine,-13.020415687561036,2.1065642147845906e-05
female,Global South,articulate,Masculine,-11.214165687561035,0.00012823870103518994
female,Global South,assertive,Masculine,-12.032499885559082,5.657454681128332e-05
female,Global South,rational,Masculine,-11.656921195983887,8.236312879205577e-05
female,Global South,coarse,Masculine,-15.387463569641113,1.9750535205519024e-06
female,Global South,self-confident,Masculine,-9.269624423980712,0.0008964429392456108
female,Global South,stern,Masculine,-2.2644490957260133,0.9881699448687605
female,Global South,tough,Masculine,-11.431255340576172,0.00010321391983403975
female,Global South,competent,Masculine,-12.048921012878418,5.56531151538498e-05
